FID,ID,STATION,BEGIN_DATE,END_DATE,LATITUDE,LONGITUDE,ELEVATION,bg_yr,end_yr,length,missing_yr
0,USC00445851,MOUNT_WEATHER__VA_US,12/31/1914 0:00:00,10/30/2017 0:00:00,39.064300000000003,-77.888300000000001,505.699999999999990,1914,2017,103,1.830000000000000
1,USC00445050,LOUISA__VA_US,4/30/1916 0:00:00,3/15/2019 0:00:00,38.042099999999998,-78.006100000000004,128.000000000000000,1916,2019,103,0.230000000000000
2,USC00444101,HOPEWELL__VA_US,9/30/1916 0:00:00,3/14/2019 0:00:00,37.299199999999999,-77.277500000000003,12.199999999999999,1916,2019,103,1.300000000000000
3,USC00441614,CHATHAM__VA_US,6/30/1922 0:00:00,3/16/2019 0:00:00,36.822400000000002,-79.410399999999996,198.400000000000010,1922,2019,97,0.250000000000000
4,USC00448737,VIENNA__VA_US,3/31/1925 0:00:00,3/16/2019 0:00:00,38.892200000000003,-77.289199999999994,127.400000000000010,1925,2019,94,0.410000000000000
5,USC00448829,WALKERTON_2_NW__VA_US,6/30/1932 0:00:00,1/30/2019 0:00:00,37.743400000000001,-77.040000000000006,15.199999999999999,1932,2019,87,0.990000000000000
6,USC00444044,HOLLAND_1_E__VA_US,2/28/1933 0:00:00,10/30/2018 0:00:00,36.683000000000000,-76.768400000000000,24.399999999999999,1933,2018,85,0.260000000000000
7,USW00013740,RICHMOND_INTERNATIONAL_AIRPORT__VA_US,2/28/1939 0:00:00,3/16/2019 0:00:00,37.511510000000001,-77.323440000000005,50.000000000000000,1939,2019,80,0.000000000000000
8,USC00441999,COPPER_HILL__VA_US,3/31/1940 0:00:00,3/16/2019 0:00:00,37.081690000000002,-80.134860000000003,870.799999999999950,1940,2019,79,0.880000000000000
9,USC00445096,LURAY_5_E__VA_US,2/28/1941 0:00:00,3/16/2019 0:00:00,38.666100000000000,-78.372699999999995,426.699999999999990,1941,2019,78,1.280000000000000
10,USW00013733,LYNCHBURG_INTERNATIONAL_AIRPORT__VA_US,7/31/1944 0:00:00,3/16/2019 0:00:00,37.320799999999998,-79.206699999999998,286.500000000000000,1944,2019,75,0.000000000000000
11,USC00448192,SUFFOLK_LAKE_KILBY__VA_US,3/31/1945 0:00:00,3/13/2019 0:00:00,36.729700000000001,-76.601500000000001,6.700000000000000,1945,2019,74,0.090000000000000
12,USW00013737,NORFOLK_INTERNATIONAL_AIRPORT__VA_US,12/31/1945 0:00:00,3/16/2019 0:00:00,36.903300000000002,-76.192200000000000,9.100000000000000,1945,2019,74,0.010000000000000
13,USC00446712,PIEDMONT_RESEARCH_STATION__VA_US,10/31/1946 0:00:00,3/14/2019 0:00:00,38.232300000000002,-78.120199999999997,158.500000000000000,1946,2019,73,0.530000000000000
14,USW00013741,ROANOKE_INTERNATIONAL_AIRPORT__VA_US,12/31/1947 0:00:00,3/16/2019 0:00:00,37.316899999999997,-79.974100000000007,358.100000000000020,1947,2019,72,0.000000000000000
15,USC00444414,JOHN_H_KERR_DAM__VA_US,2/29/1948 0:00:00,3/16/2019 0:00:00,36.600200000000001,-78.301100000000005,76.200000000000003,1948,2019,71,1.630000000000000
16,USC00449151,WILLIAMSBURG_2_N__VA_US,7/31/1948 0:00:00,3/15/2019 0:00:00,37.301699999999997,-76.703900000000004,21.300000000000001,1948,2019,71,0.610000000000000
17,USC00441955,CONCORD_4_SSW__VA_US,8/31/1950 0:00:00,3/16/2019 0:00:00,37.281900000000000,-78.959100000000007,248.400000000000010,1950,2019,69,1.380000000000000
18,USC00444148,HUDDLESTON_4_SW__VA_US,8/31/1950 0:00:00,3/16/2019 0:00:00,37.125869999999999,-79.525099999999995,273.399999999999980,1950,2019,69,0.990000000000000
19,USC00444876,LEXINGTON__VA_US,,3/16/2019 0:00:00,37.776699999999998,-79.438500000000005,334.399999999999980,1889,2019,130,1.100000000000000
20,USC00449263,WOODSTOCK_2_NE__VA_US,,3/3/2019 0:00:00,38.896900000000002,-78.467900000000000,205.699999999999990,1889,2019,130,0.440000000000000
21,USC00441593,CHARLOTTESVILLE_2_W__VA_US,,3/16/2019 0:00:00,38.032899999999998,-78.522599999999997,264.000000000000000,1892,2019,127,0.820000000000000
22,USC00442208,DALE_ENTERPRISE__VA_US,,3/16/2019 0:00:00,38.454700000000003,-78.935199999999995,413.899999999999980,1892,2019,127,0.770000000000000
23,USC00442790,EMPORIA_1_WNW__VA_US,,3/16/2019 0:00:00,36.698300000000003,-77.559700000000007,30.500000000000000,1892,2019,127,1.410000000000000
24,USC00448894,WARSAW_2_NW__VA_US,,1/30/2019 0:00:00,37.988100000000003,-76.776899999999998,42.700000000000003,1892,2019,127,1.490000000000000
25,USC00449301,WYTHEVILLE__VA_US,,3/16/2019 0:00:00,36.961700000000000,-81.087000000000003,749.200000000000050,1892,2019,127,0.770000000000000
26,USC00441136,BUCKINGHAM__VA_US,,3/16/2019 0:00:00,37.508299999999998,-78.533299999999997,176.800000000000010,1894,2019,125,0.880000000000000
27,USC00441209,BURKES_GARDEN__VA_US,,3/16/2019 0:00:00,37.090800000000002,-81.336389999999994,935.100000000000020,1896,2019,123,0.600000000000000
28,USC00442941,FARMVILLE_2_N__VA_US,,1/30/2019 0:00:00,37.326300000000003,-78.386399999999995,137.199999999999990,1897,2019,122,0.330000000000000
